Código del ámbito;Ámbito;Código del área (M49);Área;Código del elemento;Elemento;Código del producto (CPC);Producto;Código del año;Año;Unidad;Valor;Símbolo;Descripción del Símbolo
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1961;1961;1000 USD;1110792113;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1962;1962;1000 USD;1153147688;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1963;1963;1000 USD;1192035427;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1964;1964;1000 USD;1224617120;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1965;1965;1000 USD;1255283702;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1966;1966;1000 USD;1288827790;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1967;1967;1000 USD;1334059345;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1968;1968;1000 USD;1366210138;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1969;1969;1000 USD;1378436029;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1970;1970;1000 USD;1421524073;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1971;1971;1000 USD;1450854852;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1972;1972;1000 USD;1447579704;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1973;1973;1000 USD;1508638610;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1974;1974;1000 USD;1533027515;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1975;1975;1000 USD;1585101626;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1976;1976;1000 USD;1591455630;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1977;1977;1000 USD;1643717715;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1978;1978;1000 USD;1708035770;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1979;1979;1000 USD;1753299969;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1980;1980;1000 USD;1758339553;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1981;1981;1000 USD;1819152445;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1982;1982;1000 USD;1883168512;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1983;1983;1000 USD;1899988785;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1984;1984;1000 USD;1995221627;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1985;1985;1000 USD;2043729598;E;Valor estimado
QV;Valor de la Producción Agrícola;1;Mundo;58;Producción Bruta 2014-2016 (miles US$);F2051;Agricultura;1986;1986;1000 USD;2069602115;E;Valor estimado
